2016-01-23T08:14:52

TEST smarsa_BirthdaySpacings 	done 0.3137811127311362

TEST sknuth_Collision 	done 0.13614304010460776

TEST sknuth_Gap 	done 0.3235921906061934

 sknuth_SimpPoker 	done 0.7189286208665477

TEST sknuth_CouponCollector 	done 0.9468451648521139

TEST sknuth_MaxOft 	done (0.9999996622373947,0.10195672094231989)

TEST svaria_WeightDistrib 	done 0.40147161182818913

TEST smarsa_MatrixRank 	done 0.5456251147307059

TEST sstring_HammingIndep 	done 0.6083905985830687

TEST swalk_RandomWalk1 	done(1.2101430968414206e-14,1.1550396772364024e-7,0.008958741833240413,0.17433342983572497,0.11663419010695131)
2016-01-23T12:16:37
