2016-01-21T18:50:30

TEST smarsa_BirthdaySpacings 	done 0.3137811127311362

TEST sknuth_Collision 	done 0.7336558090418394

TEST sknuth_Gap 	done 0.9303175359497327

 sknuth_SimpPoker 	done 0.7597300277401753

TEST sknuth_CouponCollector 	done 0.7056882577750945

TEST sknuth_MaxOft 	done (1.0,0.33335189458561987)

TEST svaria_WeightDistrib 	done 0.3602803724706515

TEST smarsa_MatrixRank 	done 0.9471995612082009

TEST sstring_HammingIndep 	done 0.12339530262427945

TEST swalk_RandomWalk1 	done(0.08399142198034393,0.02640076298784766,0.26480046264149437,0.09254478797292442,0.44241661731822157)
2016-01-22T06:55:53
