2016-01-22T16:36:02

TEST smarsa_BirthdaySpacings 	done 0.3830190042145144

TEST sknuth_Collision 	done 0.5191282153607373

TEST sknuth_Gap 	done 0.546306216405476

 sknuth_SimpPoker 	done 0.925994802400085

TEST sknuth_CouponCollector 	done 0.10503219639841987

TEST sknuth_MaxOft 	done (1.0,0.27200578826629584)

TEST svaria_WeightDistrib 	done 0.1322531257216828

TEST smarsa_MatrixRank 	done 0.4172570459354551

TEST sstring_HammingIndep 	done 0.33798670336933356

TEST swalk_RandomWalk1 	done(0.2532919452155371,0.22242054617809115,0.2040769380730154,0.4836311412762019,0.0391037317098164)
2016-01-23T02:17:31
