2016-01-21T10:12:03

TEST smarsa_BirthdaySpacings 	done 0.9337898087053176

TEST sknuth_Collision 	done 0.6759798706697757

TEST sknuth_Gap 	done 0.7817521067327934

 sknuth_SimpPoker 	done 0.4087964978772898

TEST sknuth_CouponCollector 	done 0.7897828979409633

TEST sknuth_MaxOft 	done (1.0,0.0028949885348321658)

TEST svaria_WeightDistrib 	done 0.025978053272530777

TEST smarsa_MatrixRank 	done 0.567174141094096

TEST sstring_HammingIndep 	done 0.30566202164433576

TEST swalk_RandomWalk1 	done(0.18981368344614014,0.5552136479963269,0.086996488159091,0.5315585212420173,0.8174947214416837)
2016-01-21T17:33:05
